image_id,attack_name,error_type,error_message
H1,blur_sigma5,MemoryError,"Unable to allocate 2.00 MiB for an array with shape (2, 512, 512) and data type float32"
H1,brightness_minus20,error,"OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\core\src\alloc.cpp:73: error: (-4:Insufficient memory) Failed to allocate 1517760 bytes in function 'cv::OutOfMemoryError'
"
H1,brightness_plus20,MemoryError,
H1,brightness_plus40,MemoryError,"Unable to allocate 1.50 MiB for an array with shape (512, 512, 3) and data type int16"
H1,contrast_075,MemoryError,"Unable to allocate 3.00 MiB for an array with shape (512, 512, 3) and data type float32"
H1,contrast_125,MemoryError,"Unable to allocate 3.00 MiB for an array with shape (512, 512, 3) and data type float32"
H1,contrast_150,MemoryError,"Unable to allocate 3.00 MiB for an array with shape (512, 512, 3) and data type float32"
H1,patch_05,MemoryError,"Unable to allocate 3.00 MiB for an array with shape (512, 512, 3) and data type float32"
H1,patch_20,MemoryError,"Unable to allocate 2.00 MiB for an array with shape (512, 512) and data type float64"
H2,jpeg_q50,MemoryError,"Unable to allocate 2.00 MiB for an array with shape (512, 512) and data type float64"
H2,jpeg_q25,MemoryError,"Unable to allocate 2.00 MiB for an array with shape (512, 512) and data type float64"
H2,crop_10,MemoryError,"Unable to allocate 3.00 MiB for an array with shape (512, 512, 3) and data type float32"
H2,crop_25,MemoryError,"Unable to allocate 2.00 MiB for an array with shape (512, 512) and data type float64"
H2,crop_50,error,"OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\core\src\alloc.cpp:73: error: (-4:Insufficient memory) Failed to allocate 1517760 bytes in function 'cv::OutOfMemoryError'
"
H2,resize_050,MemoryError,"Unable to allocate 3.00 MiB for an array with shape (512, 512, 3) and data type float32"
H2,resize_075,MemoryError,"Unable to allocate 3.00 MiB for an array with shape (512, 512, 3) and data type float32"
H2,resize_150,SystemError,<built-in function resize> returned a result with an exception set
